Specimen_Number,Collection,Lot_Number,Collector,Ecoregion,County,Location,Site,Land_Category,Island_Size,SoCal_Group,MPA,Latitude,Longitude,Mean_SST,Mean_SST_Sdev,Year,Season,Month,Epoch,Formation,Length_mm,Width_mm,Globosity_WoverL,Aperture_mm,Thickness_mm,Habitat,Depth,BRY,BAR,LMP,TWS,COR,ALG,SCR,BOR_TAP,BOR_STR,BOR_INC,Image_url
88,CAS,217526,,Northern California,Monterey,MO,Monterey: Del Monte,Coastal,,,no,36.6,-121.87,13.14194695,1.553187525,1892,,,Holocene,,17.76,10,0.56,2.2,0.3,,,0,0,0,0,0,0,0,0,0,0,
89,CAS,217526,,Northern California,Monterey,MO,Monterey: Del Monte,Coastal,,,no,36.6,-121.87,13.14194695,1.553187525,1892,,,Holocene,,22.22,12.51,0.56,2.59,0.48,,,0,0,0,0,0,0,0,0,0,0,
90,CAS,217526,,Northern California,Monterey,MO,Monterey: Del Monte,Coastal,,,no,36.6,-121.87,13.14194695,1.553187525,1892,,,Holocene,,23.8,13.93,0.59,3.02,0.53,,,0,0,0,0,0,0,0,0,0,0,
91,CAS,217526,,Northern California,Monterey,MO,Monterey: Del Monte,Coastal,,,no,36.6,-121.87,13.14194695,1.553187525,1892,,,Holocene,,23.56,13.91,0.59,3.26,0.54,,,0,0,0,0,0,0,0,0,0,0,
98,CAS,217529,Han,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Catalina Harbor,Island,Large,CAT,no,33.42,-118.51,16.00703629,1.659065137,1901,Spring,5,Holocene,,17.64,9.96,0.57,2.12,0.39,sand,subtidal,0,0,0,0,0,0,0,0,0,0,
99,CAS,217529,Han,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Catalina Harbor,Island,Large,CAT,no,33.42,-118.51,16.00703629,1.659065137,1901,Spring,5,Holocene,,23.3,12.84,0.55,3.05,0.48,sand,subtidal,0,0,0,0,0,0,0,0,0,0,
100,CAS,217529,Han,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Catalina Harbor,Island,Large,CAT,no,33.42,-118.51,16.00703629,1.659065137,1901,Spring,5,Holocene,,27.4,15.85,0.58,3.19,0.77,sand,subtidal,0,0,0,0,0,0,0,0,0,0,
101,CAS,217529,Han,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Catalina Harbor,Island,Large,CAT,no,33.42,-118.51,16.00703629,1.659065137,1901,Spring,5,Holocene,,28.22,15.01,0.53,3.33,0.6,sand,subtidal,0,0,0,0,0,0,0,0,0,0,
102,CAS,217529,Han,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Catalina Harbor,Island,Large,CAT,no,33.42,-118.51,16.00703629,1.659065137,1901,Spring,5,Holocene,,30.5,16.76,0.55,3.51,0.46,sand,subtidal,0,0,0,0,0,0,0,0,0,0,
92,CAS,217511,Smith,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Blue Cavern Point,Island,Large,CAT,no,33.38,-118.52,16.00703629,1.659065137,1901,,,Holocene,,10.16,5.33,0.53,1.52,0.25,sand,deep,0,0,0,0,0,0,0,0,0,0,
93,CAS,217511,Smith,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Blue Cavern Point,Island,Large,CAT,no,33.38,-118.52,16.00703629,1.659065137,1901,,,Holocene,,11.94,6.35,0.53,1.78,0.25,sand,deep,0,0,0,0,0,0,0,0,0,0,
94,CAS,217511,Smith,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Blue Cavern Point,Island,Large,CAT,no,33.38,-118.52,16.00703629,1.659065137,1901,,,Holocene,,12.19,6.6,0.54,1.78,0.25,sand,deep,0,0,0,0,0,0,0,0,0,0,
95,CAS,217511,Smith,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Blue Cavern Point,Island,Large,CAT,no,33.38,-118.52,16.00703629,1.659065137,1901,,,Holocene,,11.18,6.6,0.59,1.78,0.25,sand,deep,0,0,0,0,0,0,0,0,0,0,
96,CAS,217511,Smith,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Blue Cavern Point,Island,Large,CAT,no,33.38,-118.52,16.00703629,1.659065137,1901,,,Holocene,,11.94,6.1,0.51,2.29,0.25,sand,deep,0,0,0,0,0,0,0,0,0,0,
97,CAS,217511,Smith,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Blue Cavern Point,Island,Large,CAT,no,33.38,-118.52,16.00703629,1.659065137,1901,,,Holocene,,27.69,15.24,0.55,3.81,0.76,sand,deep,0,0,0,0,0,0,0,0,0,0,
106,CAS,217510,Smith,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Blue Cavern Point,Island,Large,CAT,no,33.45,-118.48,16.00703629,1.659065137,1901,,,Holocene,,14.48,8.38,0.58,2.03,0.51,sand,deep,0,0,0,0,0,0,0,0,0,0,
107,CAS,217510,Smith,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Blue Cavern Point,Island,Large,CAT,no,33.45,-118.48,16.00703629,1.659065137,1901,,,Holocene,,15.49,9.65,0.62,2.29,0.25,sand,deep,0,0,0,0,0,0,0,0,0,0,
108,CAS,217510,Smith,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Blue Cavern Point,Island,Large,CAT,no,33.45,-118.48,16.00703629,1.659065137,1901,,,Holocene,,16.26,9.65,0.59,2.54,0.25,sand,deep,0,0,0,0,0,0,0,0,0,0,
103,CAS,217575,KofoidRaymond,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Cherry Cove,Island,Large,CAT,no,33.45,-118.5,16.00703629,1.659065137,1901,,,Holocene,,12.19,6.89,0.57,1.62,0.14,,,0,0,0,0,0,0,0,0,0,0,
104,CAS,217575,KofoidRaymond,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Cherry Cove,Island,Large,CAT,no,33.45,-118.5,16.00703629,1.659065137,1901,,,Holocene,,21.87,12.6,0.58,2.54,0.24,,,0,0,0,0,0,0,0,0,0,0,
105,CAS,217575,KofoidRaymond,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Cherry Cove,Island,Large,CAT,no,33.45,-118.5,16.00703629,1.659065137,1901,,,Holocene,,22.58,12.32,0.55,2.67,0.36,,,0,0,0,0,0,0,0,0,0,0,
109,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,16.76,9.4,0.56,2.03,0.76,,deep,0,0,0,0,0,0,0,0,0,0,
110,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,20.57,11.68,0.57,2.54,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
111,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,20.07,11.94,0.6,2.54,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
112,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,22.86,13.72,0.6,2.54,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
113,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,20.32,12.45,0.61,2.79,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
114,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,18.54,11.43,0.62,2.79,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
115,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,23.37,13.97,0.6,2.79,0.51,,deep,0,0,0,0,0,0,0,0,0,0,
116,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,19.05,11.43,0.6,2.79,0.51,,deep,0,0,0,0,0,0,0,0,0,0,
117,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,19.81,12.19,0.62,2.79,0.51,,deep,0,0,0,0,0,0,0,0,0,0,
118,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,22.35,11.94,0.53,3.05,0.51,,deep,0,0,0,0,0,0,0,0,0,0,
119,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,26.16,15.24,0.58,3.3,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
120,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,25.65,14.48,0.56,3.3,0.51,,deep,0,0,0,0,0,0,0,0,0,0,
121,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,23.37,13.46,0.58,3.3,0.51,,deep,0,0,0,0,0,0,0,0,0,0,
122,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,22.61,13.46,0.6,3.3,0.51,,deep,0,0,0,0,0,0,0,0,0,0,
123,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,21.34,13.21,0.62,3.3,0.51,,deep,0,0,0,0,0,0,0,0,0,0,
124,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,21.84,13.97,0.64,3.3,0.51,,deep,0,0,0,0,0,0,0,0,0,0,
125,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,26.92,15.49,0.58,3.56,0.51,,deep,0,0,0,0,0,0,0,0,0,0,
126,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,23.37,13.97,0.6,3.56,0.51,,deep,0,0,0,0,0,0,0,0,0,0,
127,CAS,204235,Raymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.7,-118.32,16.00703629,1.659065137,1901,,,Holocene,,24.64,14.73,0.6,3.56,0.51,,deep,0,0,0,0,0,0,0,0,0,0,
128,CAS,217539,KofoidRaymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.71,-118.29,16.00703629,1.659065137,1901,,,Holocene,,13.37,7.74,0.58,1.86,0.42,sand,deep,0,0,0,0,0,0,0,0,0,0,
129,CAS,217539,KofoidRaymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.71,-118.29,16.00703629,1.659065137,1901,,,Holocene,,22.87,12.86,0.56,2.56,0.57,sand,deep,0,0,0,0,0,0,0,0,0,0,
