"Specimen_Number","Collection","Lot_Number","Collector","Ecoregion","County","Coastal_Proximity","Location","Site","SoCal_Group","Island_Size","Latitude","Longitude","Epoch","Formation","Decade","Year","Season","Month","Mean_SST","Mean_SST_Sdev","Length_mm","Width_mm","Geometric_Mean","Globosity_WoverL","Aperture_mm","Thickness_mm","Habitat","Depth","BRY","BAR","LMP","TWS","COR","ALG","SCR","BOR_TAP","BOR_STR","BOR_INC","mean_pvolc3","sd_pvolc3","zooplankton_n_points_used","zooplankton_mean_distance","fish_total_catch_wt_kg","fish_cpue_kg_per_ha_der","sd_total_catch_wt_kg","sd_cpue_kg_per_ha_der","fish_n_points_used","fish_mean_distance","Population_Density","Population_Density_NoBaja","MPA","Image_url"
2309,"PR","1 atm Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,"32.76","-117.25","Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,19,11.5,14.78,0.61,3,0.3,"sand","intertidal",0,NA,0,0,0,0,1,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
2310,"PR","1 atm Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,"32.76","-117.25","Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,20,11.5,15.17,0.58,3,0.3,"sand","intertidal",0,NA,0,0,0,0,1,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
2311,"PR","1 atm Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,"32.76","-117.25","Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,20.5,11.5,15.35,0.56,2.5,0.3,"sand","intertidal",1,NA,0,0,0,0,0,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
2312,"PR","1 atm Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,"32.76","-117.25","Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,19.5,11.5,14.97,0.59,3,0.3,"sand","intertidal",1,NA,0,0,0,1,0,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
2313,"PR","1 atm Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,"32.76","-117.25","Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,20.5,11,15.02,0.54,3,0.4,"sand","intertidal",1,NA,0,0,0,0,1,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
2674,"PR","Prey _10min","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,"32.76","-117.25","Anthropocene",NA,2010,2017,"Spring",6,17.92042,2.11471,19,11.5,14.78,0.61,2.5,0.3,"sand","intertidal",1,NA,0,0,0,0,0,0,0,0,177.75,195.94,16,1.067755,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
2675,"PR","Prey _10min","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,"32.76","-117.25","Anthropocene",NA,2010,2017,"Spring",6,17.92042,2.11471,19,10,13.78,0.53,3,0.4,"sand","intertidal",1,NA,0,0,0,0,1,0,0,0,177.75,195.94,16,1.067755,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
2676,"PR","Prey _10min","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,"32.76","-117.25","Anthropocene",NA,2010,2017,"Spring",6,17.92042,2.11471,19,12,15.1,0.63,2.5,0.4,"sand","intertidal",1,NA,0,0,0,0,0,0,0,0,177.75,195.94,16,1.067755,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
2677,"PR","Prey _10min","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,"32.76","-117.25","Anthropocene",NA,2010,2017,"Spring",6,17.92042,2.11471,19,11,14.46,0.58,3,0.3,"sand","intertidal",0,NA,1,0,0,0,0,0,0,0,177.75,195.94,16,1.067755,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
2678,"PR","Prey _10min","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,"32.76","-117.25","Anthropocene",NA,2010,2017,"Spring",6,17.92042,2.11471,18.5,10.5,13.94,0.57,2.5,0.3,"sand","intertidal",1,NA,0,0,0,0,0,0,0,0,177.75,195.94,16,1.067755,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
2304,"PR","Monterey SU 17 Gland","Ul-Hasan","Northern California","Monterey","Coastal","MO","Monterey: Del Monte",NA,NA,"36.6","-121.87","Anthropocene",NA,2010,2017,"Spring",6,14.42897646,1.515162184,32,17,23.32,0.53,4.5,0.5,"sand","subtidal",0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,20.60622883,12.13779079,69.46037069,43.37759222,111,0.401462821,1094.439941,1094.439941,"no",NA
2305,"PR","Monterey SU 17 Gland","Ul-Hasan","Northern California","Monterey","Coastal","MO","Monterey: Del Monte",NA,NA,"36.6","-121.87","Anthropocene",NA,2010,2017,"Spring",6,14.42897646,1.515162184,34,17,24.04,0.5,4.5,0.5,"sand","subtidal",0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,20.60622883,12.13779079,69.46037069,43.37759222,111,0.401462821,1094.439941,1094.439941,"no",NA
2306,"PR","Monterey SU 17 Gland","Ul-Hasan","Northern California","Monterey","Coastal","MO","Monterey: Del Monte",NA,NA,"36.6","-121.87","Anthropocene",NA,2010,2017,"Spring",6,14.42897646,1.515162184,30,15,21.21,0.5,4,0.4,"sand","subtidal",0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,20.60622883,12.13779079,69.46037069,43.37759222,111,0.401462821,1094.439941,1094.439941,"no",NA
2307,"PR","Monterey SU 17 Gland","Ul-Hasan","Northern California","Monterey","Coastal","MO","Monterey: Del Monte",NA,NA,"36.6","-121.87","Anthropocene",NA,2010,2017,"Spring",6,14.42897646,1.515162184,27.5,14,19.62,0.51,3.5,0.3,"sand","subtidal",0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,20.60622883,12.13779079,69.46037069,43.37759222,111,0.401462821,1094.439941,1094.439941,"no",NA
2308,"PR","Monterey SU 17 Gland","Ul-Hasan","Northern California","Monterey","Coastal","MO","Monterey: Del Monte",NA,NA,"36.6","-121.87","Anthropocene",NA,2010,2017,"Spring",6,14.42897646,1.515162184,26.5,14,19.26,0.53,3.5,0.3,"sand","subtidal",0,NA,0,0,0,0,1,0,0,0,NA,NA,0,NA,20.60622883,12.13779079,69.46037069,43.37759222,111,0.401462821,1094.439941,1094.439941,"no",NA
2679,"PR","San Diego SU 17 Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,"32.76","-117.25","Anthropocene",NA,2010,2017,"Spring",6,17.92042,2.11471,20.5,11.5,15.35,0.56,2.5,0.3,"sand","intertidal",0,NA,0,0,0,0,0,0,0,0,177.75,195.94,16,1.067755,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
2680,"PR","San Diego SU 17 Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,"32.76","-117.25","Anthropocene",NA,2010,2017,"Spring",6,17.92042,2.11471,20.5,12,15.68,0.59,3,0.3,"sand","intertidal",0,NA,0,0,0,0,0,0,0,0,177.75,195.94,16,1.067755,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
2681,"PR","San Diego SU 17 Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,"32.76","-117.25","Anthropocene",NA,2010,2017,"Spring",6,17.92042,2.11471,22.5,11,15.73,0.49,3,0.3,"sand","intertidal",0,NA,0,0,0,0,0,0,0,0,177.75,195.94,16,1.067755,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
2682,"PR","San Diego SU 17 Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,"32.76","-117.25","Anthropocene",NA,2010,2017,"Spring",6,17.92042,2.11471,19.5,11.5,14.97,0.59,2.7,0.3,"sand","intertidal",0,NA,0,0,0,1,0,0,0,0,177.75,195.94,16,1.067755,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
2683,"PR","San Diego SU 17 Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,"32.76","-117.25","Anthropocene",NA,2010,2017,"Spring",6,17.92042,2.11471,20,10.5,14.49,0.53,2.5,0.3,"sand","intertidal",0,NA,0,0,0,0,0,0,0,0,177.75,195.94,16,1.067755,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
2314,"PR","100 PSI Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,"32.76","-117.25","Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,18.5,11,14.27,0.59,2.5,0.3,"sand","intertidal",0,NA,0,0,0,0,0,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
2315,"PR","100 PSI Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,"32.76","-117.25","Anthropocene",NA,2010,2017,"Spring",6,17.92041636,2.114710079,19,12,15.1,0.63,2.5,0.4,"sand","intertidal",1,NA,0,0,0,0,0,0,0,0,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA
