"Lot_Number","observation_date","Latitude","Longitude","observation_type_0dead","Globosity_WoverL_iNat","Collection","Ecoregion","County","Year","Month","Season","Globosity_WoverL_Raw","Difference","Abs_Difference","Within_1SD","Status"
13533327,"6/16/18","33.7099","-118.3012517",1,0.539473684210526,"iNat","Southern California Bight","Los Angeles",2018,6,"Spring",0.61,-0.0705263157894737,0.0705263157894737,FALSE,"Mismatch"
13554732,"6/18/18","33.7409972","-118.4036475",1,0.566820276497696,"iNat","Southern California Bight","Los Angeles",2018,6,"Spring",0.63,-0.0631797235023042,0.0631797235023042,FALSE,"Mismatch"
9677236,"1/30/18","35.5484839","-121.1012717",1,0.662447257383966,"iNat","Northern California","San Luis Obispo",2018,1,"Winter",0.6,0.0624472573839663,0.0624472573839663,FALSE,"Mismatch"
4597597,"11/12/16","32.66770276","-117.2451496",NA,0.559748427672956,"iNat","Southern California Bight","San Diego",2016,11,"Fall",0.52,0.0397484276729559,0.0397484276729559,FALSE,"Mismatch"
6845735,"6/28/17","32.81075901","-117.2696104",1,0.552631578947368,"iNat","Southern California Bight","San Diego",2017,6,"Spring",0.52,0.0326315789473685,0.0326315789473685,FALSE,"Mismatch"
5220262,"3/3/17","33.2147709","-117.4044728",NA,0.507552870090634,"iNat","Southern California Bight","San Diego",2017,3,"Winter",0.54,-0.0324471299093656,0.0324471299093656,FALSE,"Mismatch"
13430343,"6/14/18","37.24654444","-122.4198167",1,0.507739938080495,"iNat","Northern California","San Mateo",2018,6,"Spring",0.54,-0.0322600619195047,0.0322600619195047,FALSE,"Mismatch"
9051528,"12/3/17","36.66682837","-121.8293111",1,0.610738255033557,"iNat","Northern California","Monterey",2017,12,"Fall",0.58,0.0307382550335571,0.0307382550335571,FALSE,"Mismatch"
3275039,"5/22/16","32.66812425","-117.2450998",1,0.608695652173913,"iNat","Southern California Bight","San Diego",2016,5,"Spring",0.58,0.0286956521739131,0.0286956521739131,FALSE,"Mismatch"
9347113,"12/3/17","35.92170667","-121.4715717",1,0.547854785478548,"iNat","Northern California","Monterey",2017,12,"Fall",0.52,0.0278547854785478,0.0278547854785478,FALSE,"Mismatch"
4578865,"11/14/16","34.39541643","-119.5283318",0,0.577319587628866,"iNat","Southern California Bight","Santa Barbara",2016,11,"Fall",0.55,0.0273195876288659,0.0273195876288659,FALSE,"Mismatch"
5461925,"3/25/17","32.81404697","-117.2740109",NA,0.583333333333333,"iNat","Southern California Bight","San Diego",2017,3,"Winter",0.61,-0.0266666666666666,0.0266666666666666,FALSE,"Mismatch"
9024964,"12/2/17","33.71537833","-118.31942",0,0.526315789473684,"iNat","Southern California Bight","Los Angeles",2017,12,"Fall",0.55,-0.0236842105263159,0.0236842105263159,FALSE,"Mismatch"
13584823,"6/19/18","34.40642996","-119.8779351",1,0.448,"iNat","Northern California","Santa Barbara",2018,6,"Spring",0.47,-0.022,0.022,FALSE,"Mismatch"
5915567,"4/22/17","33.14456622","-117.3398983",NA,0.598802395209581,"iNat","Southern California Bight","San Diego",2017,4,"Spring",0.62,-0.0211976047904192,0.0211976047904192,FALSE,"Mismatch"
5104163,"2/13/17","34.03812706","-118.8819405",0,0.611111111111111,"iNat","Southern California Bight","Los Angeles",2017,2,"Winter",0.59,0.0211111111111112,0.0211111111111112,FALSE,"Mismatch"
5026834,"1/29/17","34.04486333","-118.9331603",1,0.539906103286385,"iNat","Southern California Bight","Los Angeles",2017,1,"Winter",0.56,-0.0200938967136151,0.0200938967136151,TRUE,"Match"
2616212,"1/23/16","33.46155","-117.686123",0,0.539156626506024,"iNat","Southern California Bight","Orange",2016,1,"Winter",0.52,0.0191566265060241,0.0191566265060241,TRUE,"Match"
5254804,"3/8/17","34.03144224","-118.6811805",1,0.580952380952381,"iNat","Southern California Bight","Los Angeles",2017,3,"Winter",0.6,-0.019047619047619,0.019047619047619,TRUE,"Match"
11586460,"4/27/18","32.76087026","-117.246885",NA,0.541322314049587,"iNat","Southern California Bight","San Diego",2018,4,"Spring",0.56,-0.0186776859504133,0.0186776859504133,TRUE,"Match"
13491410,"6/16/18","34.04444721","-118.9336703",0,0.518518518518518,"iNat","Southern California Bight","Ventura",2018,6,"Spring",0.5,0.0185185185185185,0.0185185185185185,TRUE,"Match"
11720345,"4/28/18","33.70686593","-118.2860827",0,0.581967213114754,"iNat","Southern California Bight","Los Angeles",2018,4,"Spring",0.6,-0.0180327868852459,0.0180327868852459,TRUE,"Match"
5060495,"2/5/17","34.38757514","-119.5143414",1,0.567934782608696,"iNat","Southern California Bight","Santa Barbara",2017,2,"Winter",0.55,0.0179347826086956,0.0179347826086956,TRUE,"Match"
5990262,"4/27/17","36.61722544","-121.8051561",1,0.577844311377245,"iNat","Northern California","Monterey",2017,4,"Spring",0.56,0.0178443113772454,0.0178443113772454,TRUE,"Match"
12066976,"4/27/18","32.814351","-117.273887",1,0.532258064516129,"iNat","Southern California Bight","San Diego",2018,4,"Spring",0.55,-0.017741935483871,0.017741935483871,TRUE,"Match"
13541784,"6/16/18","33.70953167","-118.2991383",0,0.586206896551724,"iNat","Southern California Bight","Los Angeles",2018,6,"Spring",0.57,0.0162068965517241,0.0162068965517241,TRUE,"Match"
13632556,"6/15/18","37.25101167","-122.4218111",1,0.503968253968254,"iNat","Northern California","San Mateo",2018,6,"Spring",0.52,-0.0160317460317461,0.0160317460317461,TRUE,"Match"
13470571,"6/15/18","35.27698564","-120.8896763",1,0.585106382978723,"iNat","Northern California","San Luis Obispo",2018,6,"Spring",0.6,-0.0148936170212766,0.0148936170212766,TRUE,"Match"
7987611,"9/18/17","33.0149905","-117.280458",0,0.565400843881857,"iNat","Southern California Bight","San Diego",2017,9,"Summer",0.58,-0.0145991561181434,0.0145991561181434,TRUE,"Match"
13618542,"6/15/18","32.664804","-117.243676",1,0.605769230769231,"iNat","Southern California Bight","San Diego",2018,6,"Spring",0.62,-0.0142307692307693,0.0142307692307693,TRUE,"Match"
5393289,"3/18/17","32.7719726","-117.2372408",NA,0.585820895522388,"iNat","Southern California Bight","San Diego",2017,3,"Winter",0.6,-0.0141791044776119,0.0141791044776119,TRUE,"Match"
13503335,"6/16/18","32.81425542","-117.2748805",NA,0.493392070484582,"iNat","Southern California Bight","San Diego",2018,6,"Spring",0.48,0.0133920704845815,0.0133920704845815,TRUE,"Match"
