"Specimen_Number","Collection","Lot_Number","Collector","Ecoregion","County","Coastal_Proximity","Location","Site","SoCal_Group","Island_Size","Latitude","Longitude","Epoch","Formation","Decade","Year","Season","Month","Mean_SST","Mean_SST_Sdev","Length_mm","Width_mm","Geometric_Mean","Globosity_WoverL","Aperture_mm","Thickness_mm","Habitat","Depth","BRY","BAR","LMP","TWS","COR","ALG","SCR","BOR_TAP","BOR_STR","BOR_INC","mean_pvolc3","sd_pvolc3","zooplankton_n_points_used","zooplankton_mean_distance","fish_total_catch_wt_kg","fish_cpue_kg_per_ha_der","sd_total_catch_wt_kg","sd_cpue_kg_per_ha_der","fish_n_points_used","fish_mean_distance","Population_Density","Population_Density_NoBaja","MPA","Image_url","Data_Type"
2884,"SBNHM","369179","Chaney","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Isthmus Cove","CAT","Large",33.44,-118.5,"Anthropocene",NA,1980,1984,"Spring",4,16.70721,2.047364,21.41,12.19,16.1551199314645,0.569360112097151,2.16,0.64,NA,"subtidal",1,0,0,0,0,0,0,0,0,0,103.762,199.9103,1315,3.695187,NA,NA,NA,NA,NA,NA,0,0,"no",NA,"Museum/Field"
2679,"PR","San Diego SU 17 Gland","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",6,17.92042,2.11471,20.5,11.5,15.3541525327841,0.560975609756098,2.5,0.3,"sand","intertidal",0,NA,0,0,0,0,0,0,0,0,177.75,195.94,16,1.067755,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
1747,"LACM-M-IP","5868.12",NA,"Southern California Bight","Santa Barbara","Coastal","SB","Santa Barbara: Rincon ","Santa Barbara",NA,34.38,-119.48,"Pleistocene","Santa Barbara Fm",NA,NA,NA,NA,12.24,4.4505,21.72,12.6,16.5430347880913,0.580110497237569,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum/Field"
1981,"LACM-M-IP","10130.21",NA,"Southern California Bight","Baja California","Coastal","NBC","La Mision",NA,NA,31.74,-116.74,"Pleistocene","2nd Terrace",NA,NA,NA,NA,13.26,4.542,20.07,12.05,15.5513182720951,0.60039860488291,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum/Field"
1755,"LACM-M-IP","5868.9",NA,"Southern California Bight","Santa Barbara","Coastal","SB","Santa Barbara: Rincon ","Santa Barbara",NA,34.38,-119.48,"Pleistocene","Santa Barbara Fm",NA,NA,NA,NA,12.24,4.4505,17.77,10.03,13.3503969978424,0.56443444006753,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum/Field"
435,"LACM-M","48-43.5","VeleroIV","Southern California Bight","Santa Barbara","Off Shore","SCZI","Santa Cruz Island: Southeast of","National Park","Large",33.93,-119.52,"Anthropocene",NA,1940,1948,"Fall",12,15.26946648,1.553326958,15.31,10,12.3733584769859,0.653167864141084,2.13,0.48,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151989,0.778151989,"no",NA,"Museum/Field"
1285,"LACM-M","40-161.4","Velero III","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Bird Rock","CAT","Large",33.46,-118.49,"Holocene",NA,1940,1940,"Summer",9,16.74628806,1.192287243,17.22,10.07,13.1683484158037,0.584785133565621,2.21,0.36,"rocky reef or intertidal","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,"Museum/Field"
1089,"LACM-M","54901",NA,"Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Valley of Ollas","CAT","Large",33.43,-118.42,"Holocene",NA,1920,1924,"Summer",7,15.13737194,1.351888291,23.64,13.33,17.7516534441161,0.563874788494078,3.15,0.52,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,"Museum/Field"
727,"LACM-M","65-79.4","Oringer","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Anthropocene",NA,1960,1965,"Winter",2,16.46534284,1.973515681,14.05,8.34,10.8248325622155,0.593594306049822,1.65,0.49,NA,"intertidal",0,0,0,0,0,0,1,0,0,0,194,137.7466619,15,0.614654374,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
1266,"LACM-M","40-171.6","Velero III","Southern California Bight","Santa Barbara","Off Shore","SCZI","South of Santa Cruz Island: East of ","National Park","Large",33.96,-119.8,"Holocene",NA,1940,1940,"Fall",10,16.3371683,1.286153154,30.08,17.53,22.9630659973794,0.582779255319149,4.47,0.57,"algae forest","subtidal",1,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.31400013,10.31400013,"no",NA,"Museum/Field"
2296,"PR","pilot_winter","Ul-Hasan","Southern California Bight","Baja California","Coastal","NBC","Puerto Nuevo: Major Outlet",NA,NA,32.25,-116.94,"Anthropocene",NA,2010,2016,"Fall",12,17.97017272,1.879419419,13.5,8,10.3923048454133,0.592592592592593,2,0.3,"rocky reef or intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1246.390015,NA,"no",NA,"Museum/Field"
227,"CAS","217554","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.89,"Holocene",NA,1910,1916,NA,NA,15.14970239,1.500141934,20.99,10.57,14.8951099358145,0.503573130061934,2.1,0.46,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,"Museum/Field"
2126,"MCZ","323182","Burch","Northern California","San Luis Obispo","Coastal","MB","Morro Bay",NA,NA,35.34,-120.83,"Holocene",NA,1930,1938,"Winter",1,15.09150664,1.624193165,25.55,13.91,18.8520688519855,0.544422700587084,3.43,0.35,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.97867012,6.97867012,"no",NA,"Museum/Field"
685,"LACM-M","64-26.6","McLean","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: West End","CAT","Large",33.48,-118.6,"Anthropocene",NA,1960,1964,"Fall",10,16.02046378,1.424164519,20.68,12.36,15.9876452299893,0.597678916827853,3.13,0.54,"rocky reef or intertidal","subtidal",1,0,0,0,0,0,0,0,0,0,551.8409091,1564.400873,44,2.083621129,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
2005,"LACM-M-IP","25824.1",NA,"Southern California Bight","Baja California","Off Shore","SBC","Isla de Cedros",NA,NA,28.2,-115.2,"Pleistocene","Quaternary terrace",NA,NA,NA,NA,15.07,4.4243,24.57,13.67,18.3268082327502,0.556369556369556,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum/Field"
1566,"LACM-M","41-75.6","Velero III","Southern California Bight","Santa Barbara","Off Shore","SCZI","Santa Cruz Island: Southeast of Smugglers Cove","National Park","Large",34.01,-119.53,"Holocene",NA,1940,1941,"Spring",4,16.64611991,1.507044163,28.39,16.07,21.3594779898761,0.566044381824586,3.78,0.55,"rocky reef or intertidal","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.793631017,0.793631017,"no",NA,"Museum/Field"
192,"CAS","185180","Smith","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.59,-117.88,"Holocene",NA,1910,1911,NA,NA,15.59793973,2.127915209,20.07,10.92,14.8042021061589,0.544095665171898,2.79,0.51,NA,"intertidal",0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143640041,1.143640041,"no",NA,"Museum/Field"
2821,"SBNHM","25842","Phillips","Southern California Bight","Orange","Off Shore","SLA","Doheny Beach","Los Angeles",NA,33.45,-117.68,"Anthropocene",NA,1960,1965,"Winter",1,16.5985,2.049891,20.69,11.49,15.4184337725983,0.555340744320928,2.65,0.49,"rocky reef or intertidal",NA,0,0,0,0,0,0,0,0,0,0,178.4125,197.1292,240,3.462431,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
2551,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,20,11,14.8323969741913,0.55,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
2348,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,20.5,11,15.0166574176812,0.536585365853659,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
1579,"LACM-M","41-77.1","Velero III","Southern California Bight","Los Angeles","Off Shore","SCZI","Santa Cruz Island: East of San Pedro Point","National Park","Large",34.04,-119.51,"Holocene",NA,1940,1941,"Spring",4,16.64611991,1.507044163,24.34,14.84,19.0054097561721,0.609695973705834,2.94,0.59,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.816217005,0.816217005,"no",NA,"Museum/Field"
765,"LACM-M","66-51.5","McLean","Southern California Bight","Los Angeles","Off Shore","SCI","San Clemente Island: Wilson Cove","SCI","Medium",33.01,-118.55,"Anthropocene",NA,1960,1966,"Summer",9,16.49894706,1.675475403,18.74,10.52,14.0408261865177,0.56136606189968,2.54,0.42,"rocky reef or intertidal","subtidal",0,0,0,0,0,0,0,0,0,0,173.7480981,269.9397202,1183,3.206201451,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
1910,"LACM-M-IP","2656.1",NA,"Southern California Bight","San Diego","Coastal","SD","Point Loma","San Diego",NA,32.71,-117.26,"Pleistocene","Nestor Terrace",NA,NA,NA,NA,14.37,7.6963,15.58,9.01,11.8480293720095,0.578305519897304,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum/Field"
62,"CAS","Royal Ontario Museum",NA,"Southern California Bight","Ventura","Off Shore","ANA","Ancapa Island: Frenchy's cove","National Park","Small",34.01,-119.41,"Anthropocene",NA,1960,1964,"Spring",6,15.14683239,1.375549149,19.09,12.59,15.5030029349155,0.65950759559979,2.49,0.72,NA,NA,0,0,0,0,0,0,0,0,0,0,335.9570707,515.3501753,396,2.608852955,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
2571,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,18,10,13.4164078649987,0.555555555555556,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
672,"LACM-M","63-5.4","McLean","Southern California Bight","Los Angeles","Off Shore","SCZI","Santa Cruz Island: Diablo Anchorage","National Park","Large",34.05,-119.77,"Anthropocene",NA,1960,1963,"Winter",2,16.14725033,2.152126955,13.02,7.89,10.1354723619573,0.605990783410138,1.7,0.21,NA,NA,0,0,0,0,0,0,0,0,0,0,355.6877323,689.8692764,269,3.392928368,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
1754,"LACM-M-IP","5868.9",NA,"Southern California Bight","Santa Barbara","Coastal","SB","Santa Barbara: Rincon ","Santa Barbara",NA,34.38,-119.48,"Pleistocene","Santa Barbara Fm",NA,NA,NA,NA,12.24,4.4505,19.49,10.36,14.2097290614564,0.531554643406875,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum/Field"
22,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,17.49,10.28,13.4088478252235,0.587764436821041,2.08,0.38,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,"Museum/Field"
564,"LACM-M","57-92.4","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.72,-118.35,"Anthropocene",NA,1950,1957,"Spring",4,16.84203339,1.877503874,24.42,14.02,18.5031997232911,0.574119574119574,3.54,0.54,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.276226014,0.276226014,"no",NA,"Museum/Field"
86,"CAS","217495","Wicksten","Southern California Bight","San Diego","Coastal","SD","La Jolla: Nicholson Point ","San Diego",NA,32.85,-117.28,"Anthropocene",NA,1970,1973,NA,NA,15.54931625,1.299621943,17.78,9.65,13.0987403974581,0.542744656917885,2.54,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.40200043,18.40200043,"no",NA,"Museum/Field"
728,"LACM-M","65-79.4","Oringer","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Anthropocene",NA,1960,1965,"Winter",2,16.46534284,1.973515681,12.83,7.64,9.90056564040661,0.595479345284489,1.7,0.34,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,194,137.7466619,15,0.614654374,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
483,"LACM-M","49-144.4","VeleroIV","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Willow Cove","CAT","Large",33.37,-118.34,"Anthropocene",NA,1940,1949,"Summer",8,15.79200546,1.870881451,20.37,11.39,15.232015624992,0.559155621011291,2.84,0.37,"algae forest","subtidal",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,"Museum/Field"
2331,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,20,12,15.4919333848297,0.6,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
1395,"LACM-M","105224","Kanakoff","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.83,-118.39,"Holocene",NA,1940,1940,"Winter",2,16.74628806,1.192287243,14.76,9.07,11.5703586806978,0.61449864498645,2.19,0.21,NA,"subtidal",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.1910095,271.1910095,"no",NA,"Museum/Field"
2336,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,22,13,16.9115345252878,0.590909090909091,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
244,"CAS","217523","Han","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Long Point","CAT","Large",33.41,-118.37,"Holocene",NA,1930,1930,NA,NA,16.27356927,1.61852401,17.13,10.7,13.5385006555379,0.624635143023935,2.35,0.31,NA,"deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,"Museum/Field"
1086,"LACM-M","54901",NA,"Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Valley of Ollas","CAT","Large",33.43,-118.42,"Holocene",NA,1920,1924,"Summer",7,15.13737194,1.351888291,18.93,11.45,14.7223809215765,0.60486001056524,2.77,0.35,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,"Museum/Field"
2429,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,21,12,15.8745078663875,0.571428571428571,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
2949,"SBNHM","11888","Howard","Southern California Bight","Orange","Coastal","SLA","Newport: Off of Arch Rock","Los Angeles",NA,33.58,-117.88,"Holocene",NA,1930,1933,"Fall",11,14.86766267,1.508449688,17.42,10.86,13.7543156863582,0.623421354764638,2.67,0.26,"rocky reef or intertidal",NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.84399986,11.84399986,"no",NA,"Museum/Field"
1774,"LACM-M-IP","31329.56",NA,"Southern California Bight","Santa Barbara","Coastal","SB","Santa Barbara: Rincon ","Santa Barbara",NA,34.38,-119.48,"Pleistocene","Santa Barbara",NA,NA,NA,NA,12.24,4.4505,23.61,12.36,17.0827281193608,0.523506988564168,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum/Field"
2724,"SBNHM","86031","Burch","Southern California Bight","Los Angeles","Coastal","LA","El Segundo Beach","Los Angeles",NA,33.9,-118.42,"Anthropocene",NA,1950,1951,"Summer",8,15.94393,1.673676,33.56,18.38,24.8361188594353,0.547675804529201,4.16,0.87,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,158.2609,369.9562,23,0.9239615,NA,NA,NA,NA,NA,NA,712.4439697,712.4439697,"no",NA,"Museum/Field"
247,"CAS","217523","Han","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Long Point","CAT","Large",33.41,-118.37,"Holocene",NA,1930,1930,NA,NA,16.27356927,1.61852401,23.13,12.63,17.091866486724,0.546044098573282,3,0.63,NA,"deep",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"no",NA,"Museum/Field"
924,"LACM-M","72-99.4","McLean","Northern California","Ventura","Off Shore","SNI","San Nicolas Island: Begg Rock","SNI","Medium",33.36,-119.69,"Anthropocene",NA,1970,1972,"Summer",8,15.45927143,2.233162064,10.59,5.85,7.87092751840595,0.552407932011331,1.46,0.15,"rocky reef or intertidal","subtidal",0,0,0,0,0,0,0,0,0,0,288.6434783,446.2092288,230,2.783225707,NA,NA,NA,NA,NA,NA,39.24240112,39.24240112,"no",NA,"Museum/Field"
1709,"LACM-M-IP","23387.4",NA,"Northern California","San Luis Obispo","Coastal","MB","Cayucos Point",NA,NA,35.45,-120.9,"Pleistocene","Quaternary terrace",NA,NA,NA,NA,9.68,1.9567,15.56,8.96,11.8075230255969,0.575835475578406,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museum/Field"
1529,"LACM-M","41-61.3","Velero III","Northern California","Santa Barbara","Off Shore","SRI","Santa Rosa Island: East of South Point","National Park","Large",33.89,-120.05,"Holocene",NA,1940,1941,"Spring",4,16.56658975,1.364931749,19.39,12.85,15.7848503318847,0.662712738525013,2.87,0.47,NA,"subtidal",1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.31900024,10.31900024,"no",NA,"Museum/Field"
2880,"SBNHM","369179","Chaney","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Isthmus Cove","CAT","Large",33.44,-118.5,"Anthropocene",NA,1980,1984,"Spring",4,16.70721,2.047364,19.62,10.94,14.6506928163824,0.557594291539246,2.05,0.21,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,103.762,199.9103,1315,3.695187,NA,NA,NA,NA,NA,NA,0,0,"no",NA,"Museum/Field"
626,"LACM-M","105603","Rogders","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1960,1960,"Fall",12,16.39862132,1.580005745,20.84,12.25,15.9777970947187,0.587811900191939,2.95,0.36,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,120.7903226,163.6780041,682,4.006893693,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
