"Specimen_Number","Collection","Lot_Number","Collector","Ecoregion","County","Coastal_Proximity","Location","Site","SoCal_Group","Island_Size","Latitude","Longitude","Epoch","Formation","Decade","Year","Season","Month","Mean_SST","Mean_SST_Sdev","Length_mm","Width_mm","Geometric_Mean","Globosity_WoverL","Aperture_mm","Thickness_mm","Habitat","Depth","BRY","BAR","LMP","TWS","COR","ALG","SCR","BOR_TAP","BOR_STR","BOR_INC","mean_pvolc3","sd_pvolc3","zooplankton_n_points_used","zooplankton_mean_distance","fish_total_catch_wt_kg","fish_cpue_kg_per_ha_der","sd_total_catch_wt_kg","sd_cpue_kg_per_ha_der","fish_n_points_used","fish_mean_distance","Population_Density","Population_Density_NoBaja","MPA","Image_url","Data_Type"
1,"ANSP","412316","Naide","Southern California Bight","San Diego","Coastal","SD","San Diego Bay","San Diego",NA,32.72,-117.17,"Anthropocene",NA,1950,1951,"Fall",11,16.16825136,1.629219142,21.09,12.47,16.675760852207,0.559192825112108,3.14,0.32,NA,NA,0,0,0,0,0,0,0,0,0,0,127.9607438,231.2757322,484,2.951433474,NA,NA,NA,NA,NA,NA,13.57859993,13.57859993,"no",NA,"Museum/Field"
2,"ANSP","412316","Naide","Southern California Bight","San Diego","Coastal","SD","San Diego Bay","San Diego",NA,32.72,-117.17,"Anthropocene",NA,1950,1951,"Fall",11,16.16825136,1.629219142,19,14.24,18.9470419854921,0.564855216184054,3.38,0.41,NA,NA,0,0,0,0,0,0,1,0,0,0,127.9607438,231.2757322,484,2.951433474,NA,NA,NA,NA,NA,NA,13.57859993,13.57859993,"no",NA,"Museum/Field"
3,"ANSP","412316","Naide","Southern California Bight","San Diego","Coastal","SD","San Diego Bay","San Diego",NA,32.72,-117.17,"Anthropocene",NA,1950,1951,"Fall",11,16.16825136,1.629219142,20,14.66,19.2320513726435,0.581054300435989,3.51,0.45,NA,NA,0,0,0,0,0,0,0,0,0,0,127.9607438,231.2757322,484,2.951433474,NA,NA,NA,NA,NA,NA,13.57859993,13.57859993,"no",NA,"Museum/Field"
4,"ANSP","412316","Naide","Southern California Bight","San Diego","Coastal","SD","San Diego Bay","San Diego",NA,32.72,-117.17,"Anthropocene",NA,1950,1951,"Fall",11,16.16825136,1.629219142,20,16.35,21.6242918959211,0.571678321678322,3.69,0.34,NA,NA,0,0,0,0,0,0,0,0,0,0,127.9607438,231.2757322,484,2.951433474,NA,NA,NA,NA,NA,NA,13.57859993,13.57859993,"no",NA,"Museum/Field"
5,"ANSP","A469302","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1973,"Winter",2,15.24884295,1.25306423,9.2,4.47,6.1020570302153,0.536614645858343,0.71,0.23,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,"Museum/Field"
6,"ANSP","A469302","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1973,"Winter",2,15.24884295,1.25306423,20.21,4.76,6.31198859314559,0.568697729988053,0.82,0.15,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,"Museum/Field"
7,"ANSP","A469302","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1973,"Winter",2,15.24884295,1.25306423,9.09,8.02,10.3937192573207,0.59539717891611,1.63,0.44,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,"Museum/Field"
8,"ANSP","A469302","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1973,"Winter",2,15.24884295,1.25306423,14.28,7.43,9.77115653338948,0.578210116731517,1.64,0.37,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,"Museum/Field"
9,"ANSP","A469302","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1973,"Winter",2,15.24884295,1.25306423,20.93,10.2,13.6511537973902,0.558292282430213,1.81,0.51,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,"Museum/Field"
10,"ANSP","A469302","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1973,"Winter",2,15.24884295,1.25306423,21,11.41,14.5718941802361,0.613111230521225,2.46,0.33,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,"Museum/Field"
